Event,Desc
BR_MISP_EXEC.TAKEN_RETURN_NEAR,Taken speculative and retired mispredicted indirect branches with return mnemonic.
BR_MISP_RETIRED.ALL_BRANCHES,Mispredicted branch instructions at retirement.
BR_MISP_RETIRED.ALL_BRANCHES_PS,This event counts all mispredicted branch instructions retired. This is a precise event.
BR_MISP_RETIRED.CONDITIONAL,Mispredicted conditional branch instructions retired.
BR_MISP_RETIRED.CONDITIONAL_PS,Mispredicted conditional branch instructions retired.
BR_MISP_RETIRED.NEAR_TAKEN,Number of near branch instructions retired that were taken but mispredicted.
BR_MISP_RETIRED.NEAR_TAKEN_PS,number of near branch instructions retired that were mispredicted and taken.
CPL_CYCLES.RING0,Unhalted core cycles when the thread is in ring 0.
CPL_CYCLES.RING0_TRANS,Number of intervals between processor halts while thread is in ring 0.
CPL_CYCLES.RING123,Unhalted core cycles when the thread is not in ring 0.
CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE,Count XClk pulses when this thread is unhalted and the other thread is halted.
CPU_CLK_THREAD_UNHALTED.REF_XCLK,Increments at the frequency of XCLK (100 MHz) when not halted.
CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY,Reference cycles when the at least one thread on the physical core is unhalted (counts at 100 MHz rate).
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,Count XClk pulses when this thread is unhalted and the other thread is halted.
CPU_CLK_UNHALTED.REF_TSC,"This event counts the number of reference cycles when the core is not in a halt state. The core enters the halt state when it is running the HLT instruction or the MWAIT instruction. This event is not affected by core frequency changes (for example, P states, TM2 transitions) but has the same incrementing frequency as the time stamp counter. This event can approximate elapsed time while the core was not in a halt state."
CPU_CLK_UNHALTED.REF_XCLK,Reference cycles when the thread is unhalted. (counts at 100 MHz rate)
CPU_CLK_UNHALTED.REF_XCLK_ANY,Reference cycles when the at least one thread on the physical core is unhalted (counts at 100 MHz rate).
CPU_CLK_UNHALTED.THREAD,This event counts the number of thread cycles while the thread is not in a halt state. The thread enters the halt state when it is running the HLT instruction. The core frequency may change from time to time due to power or thermal throttling.
CPU_CLK_UNHALTED.THREAD_ANY,Core cycles when at least one thread on the physical core is not in halt state.
CPU_CLK_UNHALTED.THREAD_P,Counts the number of thread cycles while the thread is not in a halt state. The thread enters the halt state when it is running the HLT instruction. The core frequency may change from time to time due to power or thermal throttling.
CPU_CLK_UNHALTED.THREAD_P_ANY,Core cycles when at least one thread on the physical core is not in halt state.
CYCLE_ACTIVITY.CYCLES_L1D_PENDING,8 to count cycle.
CYCLE_ACTIVITY.CYCLES_L2_PENDING,2 to count cycle.
CYCLE_ACTIVITY.CYCLES_LDM_PENDING,2 to count cycle.
CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,This event counts cycles during which no instructions were executed in the execution stage of the pipeline.
CYCLE_ACTIVITY.STALLS_L1D_PENDING,0CH.
CYCLE_ACTIVITY.STALLS_L2_PENDING,Number of loads missed L2.
CYCLE_ACTIVITY.STALLS_LDM_PENDING,This event counts cycles during which no instructions were executed in the execution stage of the pipeline and there were memory instructions pending (waiting for data).
DSB2MITE_SWITCHES.PENALTY_CYCLES,"Decode Stream Buffer (DSB)-to-MITE switch true penalty cycles. This metric represents fraction of cycles the CPU was stalled due to switches from DSB to MITE pipelines. The DSB (decoded i-cache; introduced with the Sandy Bridge microarchitecture) pipeline has shorter latency and delivered higher bandwidth than the MITE (legacy instruction decode pipeline). Switching between the two pipelines can cause penalties. This metric estimates when such penalty can be exposed. Optimizing for better DSB hit rate may be considered.. See section Optimization for Decoded Icache in Optimization Manual:http://www.intel.com/content/www/us/en/architecture-and-technology/64-ia-32-architectures-optimization-manual.html"
DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,Misses in all TLB levels that cause a page walk of any page size.
DTLB_LOAD_MISSES.PDE_CACHE_MISS,DTLB demand load misses with low part of linear-to-physical address translation missed.
DTLB_LOAD_MISSES.STLB_HIT,Number of cache load STLB hits. No page walk.
DTLB_LOAD_MISSES.STLB_HIT_2M,This event counts load operations from a 2M page that miss the first DTLB level but hit the second and do not cause page walks.
DTLB_LOAD_MISSES.STLB_HIT_4K,This event counts load operations from a 4K page that miss the first DTLB level but hit the second and do not cause page walks.
DTLB_LOAD_MISSES.WALK_COMPLETED,Completed page walks in any TLB of any page size due to demand load misses.
DTLB_LOAD_MISSES.WALK_COMPLETED_1G,Load miss in all TLB levels causes a page walk that completes. (1G)
DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M,Completed page walks due to demand load misses that caused 2M/4M page walks in any TLB levels.
DTLB_LOAD_MISSES.WALK_COMPLETED_4K,Completed page walks due to demand load misses that caused 4K page walks in any TLB levels.
DTLB_LOAD_MISSES.WALK_DURATION,This event counts cycles when the  page miss handler (PMH) is servicing page walks caused by DTLB load misses.
DTLB_STORE_MISSES.MISS_CAUSES_A_WALK,Miss in all TLB levels causes a page walk of any page size (4K/2M/4M/1G).
DTLB_STORE_MISSES.PDE_CACHE_MISS,DTLB store misses with low part of linear-to-physical address translation missed.
DTLB_STORE_MISSES.STLB_HIT,Store operations that miss the first TLB level but hit the second and do not cause page walks.
DTLB_STORE_MISSES.STLB_HIT_2M,This event counts store operations from a 2M page that miss the first DTLB level but hit the second and do not cause page walks.
DTLB_STORE_MISSES.STLB_HIT_4K,This event counts store operations from a 4K page that miss the first DTLB level but hit the second and do not cause page walks.
DTLB_STORE_MISSES.WALK_COMPLETED,Completed page walks due to store miss in any TLB levels of any page size (4K/2M/4M/1G).
DTLB_STORE_MISSES.WALK_COMPLETED_1G,Store misses in all DTLB levels that cause completed page walks. (1G)
DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M,Completed page walks due to store misses in one or more TLB levels of 2M/4M page structure.
DTLB_STORE_MISSES.WALK_COMPLETED_4K,Completed page walks due to store misses in one or more TLB levels of 4K page structure.
DTLB_STORE_MISSES.WALK_DURATION,This event counts cycles when the  page miss handler (PMH) is servicing page walks caused by DTLB store misses.
EPT.WALK_CYCLES,Cycle count for an Extended Page table walk.
FP_ASSIST.ANY,Cycles with any input/output SSE* or FP assists.
FP_ASSIST.SIMD_INPUT,Number of SIMD FP assists due to input values.
FP_ASSIST.SIMD_OUTPUT,Number of SIMD FP assists due to output values.
FP_ASSIST.X87_INPUT,Number of X87 FP assists due to input values.
FP_ASSIST.X87_OUTPUT,Number of X87 FP assists due to output values.
HLE_RETIRED.ABORTED,Number of times an HLE execution aborted due to any reasons (multiple categories may count as one).
HLE_RETIRED.ABORTED_MISC1,"Number of times an HLE execution aborted due to various memory events (e.g. read/write capacity and conflicts)."
HLE_RETIRED.ABORTED_MISC2,Number of times an HLE execution aborted due to uncommon conditions.
HLE_RETIRED.ABORTED_MISC3,Number of times an HLE execution aborted due to HLE-unfriendly instructions.
HLE_RETIRED.ABORTED_MISC4,Number of times an HLE execution aborted due to incompatible memory type.
HLE_RETIRED.ABORTED_MISC5,Number of times an HLE execution aborted due to none of the previous 4 categories (e.g. interrupts).
HLE_RETIRED.ABORTED_PS,Number of times an HLE execution aborted due to any reasons (multiple categories may count as one).
HLE_RETIRED.COMMIT,Number of times an HLE execution successfully committed.
HLE_RETIRED.START,Number of times an HLE execution started.
ICACHE.HIT,"Number of Instruction Cache, Streaming Buffer and Victim Cache Reads. both cacheable and noncacheable, including UC fetches."
ICACHE.IFDATA_STALL,"Using compiler's Profile-Gruided Optimization (PGO) can reduce i-cache misses through improved hot code layout. Cycles where a code fetch is stalled due to L1 instruction-cache miss."
ICACHE.IFETCH_STALL,"Using compiler's Profile-Gruided Optimization (PGO) can reduce i-cache misses through improved hot code layout. Cycles where a code fetch is stalled due to L1 instruction-cache miss."
ICACHE.MISSES,"Using compiler's Profile-Gruided Optimization (PGO) can reduce i-cache misses through improved hot code layout. This event counts Instruction Cache (ICACHE) misses."
IDQ.ALL_DSB_CYCLES_4_UOPS, 4.
IDQ.ALL_DSB_CYCLES_ANY_UOPS, 1.
IDQ.ALL_MITE_CYCLES_4_UOPS, 4.
IDQ.ALL_MITE_CYCLES_ANY_UOPS, 1.
IDQ.DSB_CYCLES,Cycles when uops are being delivered to Instruction Decode Queue (IDQ) from Decode Stream Buffer (DSB) path.
IDQ.DSB_UOPS, 1 to count cycles.
IDQ.EMPTY,Counts cycles the IDQ is empty.
IDQ.MITE_ALL_UOPS,Number of uops delivered to IDQ from any path.
IDQ.MITE_CYCLES,Cycles when uops are being delivered to Instruction Decode Queue (IDQ) from MITE path.
IDQ.MITE_UOPS, 1 to count cycles.
IDQ.MS_CYCLES,"This event counts cycles during which the microcode sequencer assisted the Front-end in delivering uops.  Microcode assists are used for complex instructions or scenarios that can't be handled by the standard decoder.  Using other instructions, if possible, will usually improve performance."
IDQ.MS_DSB_CYCLES,Cycles when uops initiated by Decode Stream Buffer (DSB) are being delivered to Instruction Decode Queue (IDQ) while Microcode Sequenser (MS) is busy.
IDQ.MS_DSB_OCCUR,Deliveries to Instruction Decode Queue (IDQ) initiated by Decode Stream Buffer (DSB) while Microcode Sequenser (MS) is busy.
IDQ.MS_DSB_UOPS,1 to count # of delivery.
IDQ.MS_MITE_UOPS, 1 to count cycles.
IDQ.MS_SWITCHES,"Number of switches from DSB (Decode Stream Buffer) or MITE (legacy decode pipeline) to the Microcode Sequencer. Commonly used instructions are optimized for
delivery by the DSB (decoded i-cache) or MITE (legacy
instruction decode) pipelines. Certain operations cannot be
handled natively by the execution pipeline; and must be
performed by microcode (small programs injected into the
execution stream). Switching to the MS too often can
negatively impact performance. The MS is designated to
deliver long uop flows required by CISC instructions like
CPUID; or uncommon conditions like Floating Point Assists
when dealing with Denormals."
IDQ.MS_UOPS,"This event counts uops delivered by the Front-end with the assistance of the microcode sequencer.  Microcode assists are used for complex instructions or scenarios that can't be handled by the standard decoder.  Using other instructions, if possible, will usually improve performance."
IDQ_UOPS_NOT_DELIVERED.CORE,"This event count the number of undelivered (unallocated) uops from the Front-end to the Resource Allocation Table (RAT) while the Back-end of the processor is not stalled. The Front-end can allocate up to 4 uops per cycle so this event can increment 0-4 times per cycle depending on the number of unallocated uops. This event is counted on a per-core basis."
IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE,This event counts the number cycles during which the Front-end allocated exactly zero uops to the Resource Allocation Table (RAT) while the Back-end of the processor is not stalled.  This event is counted on a per-core basis.
IDQ_UOPS_NOT_DELIVERED.CYCLES_FE_WAS_OK,Counts cycles FE delivered 4 uops or Resource Allocation Table (RAT) was stalling FE.
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_1_UOP_DELIV.CORE,Cycles per thread when 3 or more uops are not delivered to Resource Allocation Table (RAT) when backend of the machine is not stalled.
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_2_UOP_DELIV.CORE,Cycles with less than 2 uops delivered by the front end.
IDQ_UOPS_NOT_DELIVERED.CYCLES_LE_3_UOP_DELIV.CORE,Cycles with less than 3 uops delivered by the front end.
ILD_STALL.IQ_FULL,Stall cycles due to IQ is full.
ILD_STALL.LCP,"This event counts cycles where the decoder is stalled on an instruction with a length changing prefix (LCP). Using proper compiler flags or Intel Compiler by default will certainly avoid this. "
INST_RETIRED.ANY,"This event counts the number of instructions retired from execution. For instructions that consist of multiple micro-ops, this event counts the retirement of the last micro-op of the instruction. Counting continues during hardware interrupts, traps, and inside interrupt handlers. INST_RETIRED.ANY is counted by a designated fixed counter, leaving the programmable counters available for other events. Faulting executions of GETSEC/VM entry/VM Exit/MWait will not count as retired instructions."
INST_RETIRED.ANY_P,Number of instructions at retirement.
INST_RETIRED.PREC_DIST,Precise instruction retired event with HW to reduce effect of PEBS shadow in IP distribution.
INST_RETIRED.X87,"This is a non-precise version (that is, does not use PEBS) of the event that counts FP operations retired. For X87 FP operations that have no exceptions counting also includes flows that have several X87, or flows that use X87 uops in the exception handling."
INT_MISC.RECOVERY_CYCLES,"This event counts the number of cycles spent waiting for a recovery after an event such as a processor nuke, JEClear, assist, hle/rtm abort etc."
INT_MISC.RECOVERY_CYCLES_ANY,Core cycles the allocator was stalled due to recovery from earlier clear event for any thread running on the physical core (e.g. misprediction or memory nuke).
ITLB.ITLB_FLUSH,"Counts the number of ITLB flushes, includes 4k/2M/4M pages."
ITLB_MISSES.MISS_CAUSES_A_WALK,Misses in ITLB that causes a page walk of any page size.
ITLB_MISSES.STLB_HIT,ITLB misses that hit STLB. No page walk.
ITLB_MISSES.STLB_HIT_2M,ITLB misses that hit STLB (2M).
ITLB_MISSES.STLB_HIT_4K,ITLB misses that hit STLB (4K).
ITLB_MISSES.WALK_COMPLETED,"Consider large 2M
pages for code (selectively prefer hot large-size function,
due to limited 2M entries). Linux options: standard binaries
use libhugetlbfs; Hfsort.. https://github.com/libhugetlbfs/l
ibhugetlbfs;https://research.fb.com/publications/optimizing-
function-placement-for-large-scale-data-center-
applications-2/, Completed page walks in ITLB of any page size."
ITLB_MISSES.WALK_COMPLETED_1G,Store miss in all TLB levels causes a page walk that completes. (1G)
ITLB_MISSES.WALK_COMPLETED_2M_4M,Completed page walks due to misses in ITLB 2M/4M page entries.
ITLB_MISSES.WALK_COMPLETED_4K,Completed page walks due to misses in ITLB 4K page entries.
ITLB_MISSES.WALK_DURATION,This event counts cycles when the  page miss handler (PMH) is servicing page walks caused by ITLB misses.
L1D.REPLACEMENT,"This event counts when new data lines are brought into the L1 Data cache, which cause other lines to be evicted from the cache."
L1D_PEND_MISS.FB_FULL,Cycles a demand request was blocked due to Fill Buffers inavailability.
L1D_PEND_MISS.PENDING,1 to count occurrences.
L1D_PEND_MISS.PENDING_CYCLES,Cycles with L1D load Misses outstanding.
L1D_PEND_MISS.PENDING_CYCLES_ANY,Cycles with L1D load Misses outstanding from any thread on physical core.
L1D_PEND_MISS.REQUEST_FB_FULL,"Number of times a request needed a FB entry but there was no entry available for it. That is the FB unavailability was dominant reason for blocking the request. A request includes cacheable/uncacheable demands that is load, store or SW prefetch. HWP are e."
L2_DEMAND_RQSTS.WB_HIT,Not rejected writebacks that hit L2 cache.
L2_LINES_IN.ALL,This event counts the number of L2 cache lines brought into the L2 cache.  Lines are filled into the L2 cache when there was an L2 miss.
L2_LINES_IN.E,L2 cache lines in E state filling L2.
L2_LINES_IN.I,L2 cache lines in I state filling L2.
L2_LINES_IN.S,L2 cache lines in S state filling L2.
L2_LINES_OUT.DEMAND_CLEAN,Clean L2 cache lines evicted by demand.
L2_LINES_OUT.DEMAND_DIRTY,Dirty L2 cache lines evicted by demand.
L2_RQSTS.ALL_CODE_RD,Counts all L2 code requests.
L2_RQSTS.ALL_DEMAND_DATA_RD,Counts any demand and L1 HW prefetch data load requests to L2.
L2_RQSTS.ALL_DEMAND_MISS,Demand requests that miss L2 cache.
L2_RQSTS.ALL_DEMAND_REFERENCES,Demand requests to L2 cache.
L2_RQSTS.ALL_PF,Counts all L2 HW prefetcher requests.
L2_RQSTS.ALL_RFO,Counts all L2 store RFO requests.
L2_RQSTS.CODE_RD_HIT,Number of instruction fetches that hit the L2 cache.
L2_RQSTS.CODE_RD_MISS,Number of instruction fetches that missed the L2 cache.
L2_RQSTS.DEMAND_DATA_RD_HIT,Demand data read requests that hit L2 cache.
L2_RQSTS.DEMAND_DATA_RD_MISS,"Demand data read requests that missed L2, no rejects."
L2_RQSTS.L2_PF_HIT,Counts all L2 HW prefetcher requests that hit L2.
L2_RQSTS.L2_PF_MISS,Counts all L2 HW prefetcher requests that missed L2.
L2_RQSTS.MISS,All requests that missed L2.
L2_RQSTS.REFERENCES,All requests to L2 cache.
L2_RQSTS.RFO_HIT,Counts the number of store RFO requests that hit the L2 cache.
L2_RQSTS.RFO_MISS,Counts the number of store RFO requests that miss the L2 cache.
L2_TRANS.ALL_PF,"Any MLC or L3 HW prefetch accessing L2, including rejects."
L2_TRANS.ALL_REQUESTS,Transactions accessing L2 pipe.
L2_TRANS.CODE_RD,L2 cache accesses when fetching instructions.
L2_TRANS.DEMAND_DATA_RD,Demand data read requests that access L2 cache.
L2_TRANS.L1D_WB,L1D writebacks that access L2 cache.
L2_TRANS.L2_FILL,L2 fill requests that access L2 cache.
L2_TRANS.L2_WB,L2 writebacks that access L2 cache.
L2_TRANS.RFO,RFO requests that access L2 cache.
LD_BLOCKS.NO_SR,The number of times that split load operations are temporarily blocked because all resources for handling the split accesses are in use.
LD_BLOCKS.STORE_FORWARD,"This event counts loads that followed a store to the same address, where the data could not be forwarded inside the pipeline from the store to the load.  The most common reason why store forwarding would be blocked is when a load's address range overlaps with a preceding smaller uncompleted store. The penalty for blocked store forwarding is that the load must wait for the store to write its value to the cache before it can be issued."
LD_BLOCKS_PARTIAL.ADDRESS_ALIAS,"Aliasing occurs when a load is issued after a store and their memory addresses are offset by 4K.  This event counts the number of loads that aliased with a preceding store, resulting in an extended address check in the pipeline which can have a performance impact. This metric estimates how often memory load accesses were
aliased by preceding stores (in program order) with a 4K address offset. False match is possible; which incur a few
cycles load re-issue. However; the short re-issue duration is often hidden by the out-of-order core and HW
optimizations; hence a user may safely ignore a high value of this metric unless it manages to propagate up into parent
nodes of the hierarchy (e.g. to L1_Bound). Consider reducing independent loads/stores accesses with 4K offsets.
See the Optimization Manual for more details"
LOAD_HIT_PRE.HW_PF,Non-SW-prefetch load dispatches that hit fill buffer allocated for H/W prefetch.
LOAD_HIT_PRE.SW_PF,Non-SW-prefetch load dispatches that hit fill buffer allocated for S/W prefetch.
LOCK_CYCLES.CACHE_LOCK_DURATION,Cycles in which the L1D is locked.
LOCK_CYCLES.SPLIT_LOCK_UC_LOCK_DURATION,"Bad performance problem. Counts misaligned atomic accesses. Cycles in which the L1D and L2 are locked, due to a UC lock or split lock."
LONGEST_LAT_CACHE.MISS,This event counts each cache miss condition for references to the last level cache.
LONGEST_LAT_CACHE.REFERENCE,This event counts requests originating from the core that reference a cache line in the last level cache.
LSD.CYCLES_4_UOPS,"Cycles 4 Uops delivered by the LSD, but didn't come from the decoder."
LSD.CYCLES_ACTIVE,"Cycles Uops delivered by the LSD, but didn't come from the decoder."
LSD.UOPS,Number of uops delivered by the LSD.
MACHINE_CLEARS.COUNT,"These slots are either wasted by uops fetched prior to the clear; or stalls the out-of-order portion of the machine needs to recover its state after the clear. For example; this can happen due to memory ordering Nukes (e.g. Memory Disambiguation) or Self-Modifying-Code (SMC) nukes. See Memory Disambiguation in Optimization Manual and:. https://software.intel.com/sites/default/files/m/d/4/1/d/8/sma.pdf. Number of machine clears (nukes) of any type."
MACHINE_CLEARS.CYCLES,"These slots are either wasted by uops fetched prior to the clear; or stalls the out-of-order portion of the machine needs to recover its state after the clear. For example; this can happen due to memory ordering Nukes (e.g. Memory Disambiguation) or Self-Modifying-Code (SMC) nukes. See Memory Disambiguation in Optimization Manual and:. https://software.intel.com/sites/default/files/m/d/4/1/d/8/sma.pdf. Cycles there was a Nuke. Account for both thread-specific and All Thread Nukes."
MACHINE_CLEARS.MASKMOV,This event counts the number of executed Intel AVX masked load operations that refer to an illegal address range with the mask bits set to 0.
MACHINE_CLEARS.MEMORY_ORDERING,This event counts the number of memory ordering machine clears detected. Memory ordering machine clears can result from memory address aliasing or snoops from another hardware thread or core to data inflight in the pipeline.  Machine clears can have a significant performance impact if they are happening frequently.
MACHINE_CLEARS.SMC,"This event is incremented when self-modifying code (SMC) is detected, which causes a machine clear.  Machine clears can have a significant performance impact if they are happening frequently."
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT,Retired load uops which data sources were L3 and cross-core snoop hits in on-pkg core cache.
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS,"This event counts retired load uops that hit in the L3 cache, but required a cross-core snoop which resulted in a HIT in an on-pkg core cache. This does not include hardware prefetches. This is a precise event."
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM,"Retired load uops which data sources were HitM responses from shared L3. This metric estimates fraction of cycles while the memory subsystem was handling contested accesses. Contested accesses occur when data written by one thread are read by another thread on a different physical core. Examples of contested accesses include synchronizations such as locks; true data sharing such as modified locked variables; and false sharing."
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS,"This event counts retired load uops that hit in the L3 cache, but required a cross-core snoop which resulted in a HITM (hit modified) in an on-pkg core cache. This does not include hardware prefetches. This is a precise event."
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS,Retired load uops which data sources were L3 hit and cross-core snoop missed in on-pkg core cache.
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS,Retired load uops which data sources were L3 hit and cross-core snoop missed in on-pkg core cache.
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE,Retired load uops which data sources were hits in L3 without snoops required.
MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_NONE_PS,Retired load uops which data sources were hits in L3 without snoops required.
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM,"This event counts retired load uops where the data came from local DRAM. This does not include hardware prefetches. Caching will improve the latency and increase performance."
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,This event counts retired load uops where the data came from local DRAM. This does not include hardware prefetches. This is a precise event.
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM,"Retired load uop whose Data Source was: remote DRAM either Snoop not needed or Snoop Miss (RspI). This metric represents how often CPU was likely stalled due to loads from remote memory. This is caused often due to non-optimal NUMA allocations."
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS,Retired load uop whose Data Source was: remote DRAM either Snoop not needed or Snoop Miss (RspI) (Precise Event)
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD,Retired load uop whose Data Source was: forwarded from remote cache
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS,Retired load uop whose Data Source was: forwarded from remote cache (Precise Event)
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM,"Retired load uop whose Data Source was: Remote cache HITM. This metric represents how often CPU was likely stalled due to loads from remote cache in other sockets. This is caused often due to non-optimal NUMA allocations."
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS,Retired load uop whose Data Source was: Remote cache HITM (Precise Event)
MEM_LOAD_UOPS_RETIRED.HIT_LFB,Retired load uops which data sources were load uops missed L1 but hit FB due to preceding miss to the same cache line with data not ready.
MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS,Retired load uops which data sources were load uops missed L1 but hit FB due to preceding miss to the same cache line with data not ready.
MEM_LOAD_UOPS_RETIRED.L1_HIT,"Retired load uops with L1 cache hits as data sources. This metric estimates how often the CPU was stalled without loads missing the L1 data cache.  The L1 data cache typically has the shortest latency.  However; in certain cases like loads blocked on older stores; a load might suffer due to high latency even though it is being satisfied by the L1. Another example is loads who miss in the TLB. These cases are characterized by execution unit stalls; while some non-completed demand load lives in the machine without having that demand load missing the L1 cache."
MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,Retired load uops with L1 cache hits as data sources.
MEM_LOAD_UOPS_RETIRED.L1_MISS,Retired load uops missed L1 cache as data sources.
MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,This event counts retired load uops in which data sources missed in the L1 cache. This does not include hardware prefetches. This is a precise event.
MEM_LOAD_UOPS_RETIRED.L2_HIT,Retired load uops with L2 cache hits as data sources.
MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,Retired load uops with L2 cache hits as data sources.
MEM_LOAD_UOPS_RETIRED.L2_MISS,Retired load uops missed L2. Unknown data source excluded.
MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,Retired load uops with L2 cache misses as data sources.
MEM_LOAD_UOPS_RETIRED.L3_HIT,Retired load uops with L3 cache hits as data sources.
MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,This event counts retired load uops in which data sources were data hits in the L3 cache without snoops required. This does not include hardware prefetches. This is a precise event.
MEM_LOAD_UOPS_RETIRED.L3_MISS,Retired load uops missed L3. Excludes unknown data source .
MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Miss in last-level (L3) cache. Excludes Unknown data-source.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128,Loads with latency value being above 128.
MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16,Loads with latency value being above 16.
